id,age,sex,region,income,married,children,car,saving_ac,current_ac,cross_sell
ID12328,56,MALE,TOWN,24888.2,YES,0,NO,YES,YES,YES
ID12329,25,MALE,TOWN,26115,NO,0,YES,NO,YES,YES
ID12330,27,MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,YES
ID12331,49,FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES
ID12332,34,MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,NO
ID12333,31,MALE,SUBURBAN,17255,YES,0,NO,NO,YES,YES
ID12334,41,FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO
ID12335,57,FEMALE,RURAL,41720,NO,3,NO,YES,NO,NO
ID12336,49,MALE,RURAL,11767,YES,1,NO,YES,YES,YES
ID12337,65,MALE,TOWN,52255.9,NO,2,YES,YES,YES,YES
ID12338,22,FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,NO
ID12339,35,FEMALE,SUBURBAN,19984,YES,2,NO,NO,NO,NO
ID12340,23,MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO
ID12341,26,FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO
ID12342,50,FEMALE,INNER_CITY,32356,NO,0,NO,NO,YES,YES
ID12343,67,MALE,INNER_CITY,43069,YES,1,YES,YES,YES,YES
ID12344,49,FEMALE,INNER_CITY,19968.1,YES,2,YES,YES,YES,NO
ID12345,50,MALE,RURAL,40886,YES,2,YES,YES,NO,NO
ID12346,46,MALE,SUBURBAN,37773.9,NO,0,YES,YES,NO,NO
ID12347,23,FEMALE,INNER_CITY,7606.25,NO,0,YES,YES,NO,NO
ID12348,26,MALE,RURAL,21384.4,YES,0,YES,NO,YES,NO
ID12349,40,MALE,TOWN,20347,YES,3,NO,YES,YES,NO
ID12350,36,MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO
ID12351,65,MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,NO
ID12352,26,FEMALE,TOWN,36057.8,YES,1,YES,YES,NO,YES
ID12353,23,MALE,SUBURBAN,14290.5,YES,2,YES,NO,YES,NO
ID12354,42,FEMALE,TOWN,44704,YES,1,NO,NO,NO,YES
ID12355,21,FEMALE,RURAL,39871,NO,3,YES,YES,YES,NO
ID12356,62,FEMALE,INNER_CITY,24262.8,YES,0,YES,NO,NO,YES
ID12357,49,FEMALE,SUBURBAN,14123,NO,2,NO,YES,YES,NO
ID12358,28,FEMALE,TOWN,23371,YES,2,NO,NO,YES,NO
ID12359,38,FEMALE,TOWN,21495.6,NO,0,NO,NO,YES,NO
ID12360,36,MALE,TOWN,12166.9,NO,0,YES,NO,NO,NO
ID12361,22,MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO
ID12362,40,MALE,TOWN,28882.3,YES,1,NO,YES,YES,YES
ID12363,45,FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO
ID12364,60,FEMALE,TOWN,46358.4,YES,0,YES,YES,YES,NO
ID12365,23,MALE,INNER_CITY,19166,NO,0,YES,YES,NO,YES
ID12366,21,MALE,INNER_CITY,17921.8,YES,1,NO,NO,NO,YES
ID12367,40,MALE,TOWN,28211,NO,0,YES,YES,NO,YES
ID12368,48,FEMALE,SUBURBAN,30396.1,NO,0,NO,YES,YES,YES
ID12369,63,FEMALE,SUBURBAN,34625.2,YES,1,YES,NO,NO,NO
ID12370,20,MALE,TOWN,39786,NO,3,YES,NO,NO,NO
ID12371,67,FEMALE,RURAL,60747.5,NO,2,NO,YES,YES,YES
ID12372,62,FEMALE,INNER_CITY,56394.3,NO,0,YES,YES,YES,YES
ID12373,36,MALE,TOWN,13236.4,NO,0,NO,YES,YES,NO
ID12374,31,MALE,INNER_CITY,28409.4,YES,1,NO,NO,YES,YES
ID12375,42,FEMALE,INNER_CITY,27056.5,YES,0,NO,YES,YES,NO
ID12376,18,MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES
ID12377,46,FEMALE,SUBURBAN,28702.7,YES,1,NO,YES,YES,YES
ID12378,25,MALE,TOWN,22366.1,YES,1,YES,YES,YES,YES
ID12379,65,FEMALE,TOWN,24477.5,NO,0,NO,YES,NO,NO
ID12380,31,MALE,TOWN,36972.4,YES,0,NO,NO,YES,YES
ID12381,32,MALE,INNER_CITY,22327.8,YES,0,NO,NO,NO,YES
ID12382,42,FEMALE,INNER_CITY,15610.2,YES,0,NO,YES,YES,NO
ID12383,41,MALE,INNER_CITY,54314.5,YES,1,NO,YES,NO,YES
ID12384,43,FEMALE,INNER_CITY,29964,YES,3,NO,YES,NO,NO
ID12385,22,FEMALE,INNER_CITY,14984,YES,3,NO,YES,YES,NO
ID12386,25,MALE,TOWN,9485.84,YES,0,NO,NO,NO,NO
ID12387,39,FEMALE,TOWN,24675.7,YES,1,NO,YES,YES,YES
ID12388,58,FEMALE,INNER_CITY,23442,YES,3,NO,NO,YES,NO
ID12389,33,MALE,INNER_CITY,48196,YES,1,NO,YES,NO,NO
ID12390,52,FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,YES
ID12391,23,MALE,INNER_CITY,13921,NO,0,NO,YES,YES,YES
ID12392,44,FEMALE,SUBURBAN,39253.6,NO,0,YES,YES,NO,YES
ID12393,51,MALE,RURAL,46323.8,YES,2,YES,YES,NO,YES
ID12394,26,FEMALE,TOWN,20950.7,YES,0,YES,YES,NO,NO
ID12395,42,MALE,TOWN,32701,YES,0,NO,NO,NO,NO
ID12396,34,MALE,TOWN,32548.9,YES,0,YES,YES,YES,NO
ID12397,39,FEMALE,RURAL,24583.4,YES,3,YES,YES,YES,NO
ID12398,18,MALE,RURAL,8639.24,YES,2,NO,NO,NO,NO
ID12399,47,FEMALE,INNER_CITY,17139.5,NO,2,YES,NO,YES,NO
ID12400,35,FEMALE,INNER_CITY,13667.7,NO,0,NO,YES,YES,NO
ID12401,19,FEMALE,INNER_CITY,8162.42,YES,1,YES,YES,YES,NO
ID12402,37,FEMALE,TOWN,15349.6,YES,0,NO,NO,NO,NO
ID12403,40,FEMALE,TOWN,36761,YES,0,NO,YES,NO,NO
ID12404,49,MALE,RURAL,34533,YES,3,YES,YES,YES,NO
ID12405,67,FEMALE,RURAL,57398.1,NO,3,NO,YES,YES,YES
ID12406,43,FEMALE,RURAL,11520.8,YES,3,NO,NO,NO,NO
ID12407,63,MALE,INNER_CITY,52117.3,YES,2,YES,YES,YES,YES
ID12408,38,MALE,RURAL,26281.4,NO,0,YES,YES,YES,YES
ID12409,48,MALE,TOWN,45028,YES,2,NO,NO,YES,NO
ID12410,30,FEMALE,INNER_CITY,11920.7,NO,1,NO,YES,YES,NO
ID12411,46,MALE,TOWN,23987,YES,2,NO,YES,NO,NO
ID12412,66,MALE,INNER_CITY,36646.4,NO,1,NO,YES,YES,YES
ID12413,61,FEMALE,SUBURBAN,29859,NO,2,YES,NO,YES,YES
ID12414,27,FEMALE,RURAL,16109.9,NO,0,YES,YES,YES,NO
ID12415,54,FEMALE,TOWN,40790,YES,0,YES,YES,NO,NO
ID12416,45,MALE,SUBURBAN,42628.3,NO,0,YES,YES,YES,NO
ID12417,60,MALE,INNER_CITY,22110.1,YES,2,YES,YES,NO,NO
ID12418,45,FEMALE,RURAL,37689.1,NO,0,NO,YES,NO,YES
ID12419,31,FEMALE,INNER_CITY,23171.8,NO,0,NO,YES,NO,NO
ID12420,39,MALE,SUBURBAN,21951.3,NO,0,YES,YES,YES,NO
ID12421,48,MALE,INNER_CITY,38103.4,YES,2,YES,YES,NO,YES
ID12422,35,MALE,SUBURBAN,22882.9,YES,0,YES,NO,NO,YES
ID12423,27,FEMALE,TOWN,29900,YES,1,YES,YES,NO,NO
ID12424,32,MALE,TOWN,24027.6,NO,0,NO,YES,NO,YES
ID12425,36,MALE,SUBURBAN,28495.1,YES,0,NO,YES,YES,NO
ID12426,24,FEMALE,TOWN,9465.21,NO,0,NO,NO,YES,YES
ID12427,28,MALE,INNER_CITY,34852.3,YES,2,NO,YES,NO,YES
ID12428,24,MALE,INNER_CITY,21268.4,YES,0,NO,NO,NO,YES
ID12429,57,FEMALE,RURAL,38595,NO,1,NO,YES,NO,YES
ID12430,27,FEMALE,RURAL,18555.9,YES,3,NO,NO,NO,NO
ID12431,39,FEMALE,RURAL,52769.9,YES,3,YES,YES,YES,YES
ID12432,18,MALE,INNER_CITY,11601.4,YES,2,NO,NO,NO,NO
ID12433,33,FEMALE,TOWN,14682,YES,0,NO,NO,NO,NO
ID12434,48,MALE,SUBURBAN,17861,YES,2,NO,YES,YES,NO
ID12435,23,MALE,SUBURBAN,21042,YES,1,NO,NO,YES,YES
ID12436,28,MALE,RURAL,26688.1,YES,1,NO,YES,NO,YES
ID12437,39,MALE,INNER_CITY,36460,YES,2,NO,NO,NO,NO
ID12438,65,MALE,INNER_CITY,38080.9,YES,1,YES,YES,NO,NO
ID12439,60,MALE,TOWN,37554.1,YES,0,NO,YES,YES,YES
ID12440,20,MALE,INNER_CITY,18184.6,YES,3,NO,NO,NO,YES
ID12441,45,FEMALE,SUBURBAN,28864.9,YES,0,NO,YES,YES,NO
ID12442,66,MALE,SUBURBAN,48346.1,YES,1,YES,YES,NO,YES
ID12443,64,MALE,INNER_CITY,15597,YES,0,YES,YES,YES,NO
ID12444,51,FEMALE,INNER_CITY,19416.8,YES,0,NO,YES,YES,NO
ID12445,34,MALE,SUBURBAN,23638.1,YES,0,YES,YES,YES,NO
ID12446,34,FEMALE,RURAL,42378.2,YES,1,NO,NO,YES,YES
ID12447,39,MALE,RURAL,16972,YES,0,YES,YES,YES,NO
ID12448,66,FEMALE,INNER_CITY,45189.8,YES,0,NO,NO,NO,NO
ID12449,63,MALE,INNER_CITY,37930.9,YES,3,NO,NO,NO,NO
